"base","STATE","REGION","lat","long","population","less_than_high_school","high_school_grad","some_bachelors_or_associate","with_children_under_18","income_below_poverty","drove_alone","carpooled","public_transportation","walked","taxi_motorcycle_bike_other","worked_from_home","now_married","separated","widowed","divorced","female","black_or_african_american_alone","american_indian_and_alaskan_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","some_other_race_alone","two_or_more_races","hispanic_or_latino","living_with_supplementary_security_income_cash_public_assistance_income_foodstamps","veteran","unemployment_rate","armed_forces","mu_days","smoke","obese","food_env_index","phys_inactive","exer_acc","excess_drink","alc_drive_deaths_rate","clap_rate","teen_birth","mental_rate","child_pov","social","violence","house_problem","long_drive_alone","land_acres","h_80ami","t_80ami","co2_per_acre_local","autos_per_hh_80ami","vmt_per_hh_80ami","pct_transit_commuters_80ami","transit_trips_80ami","emp_ovrll_ndx","gross_hh_density","frac_sfd","intersection_density","median_smoc","pct_renter_occupied_hu","pupil_teacher_ratio","pct_65_older","annual_drug_spending_hh_avg"
"Fort Campbell","TN","South",36.6700000001999,-87.4899999997002,68375,0.0737904377701191,0.302745634334549,0.437938615017873,0.571251002180164,0.139061547880096,0.808231889914435,0.0862792674905588,0.00626190819407192,0.0668965958525868,0.0153098665953857,0.0170204719529613,0.566659356076419,0.0207475837077648,0.0364888959845435,0.10735084755553,0.517551343476482,0.200099155794454,0.00702325581110668,0.022767721283236,0.00684473898647864,0.0156939536672913,0.052912779948735,0.10191951696963,0.262637401912276,0.25067017146905,0.051346458356505,0.181290614695199,4.50482191028727,21.4302667593429,32.7772893021639,6.77572712262101,29.4143491787608,62.4067383701192,16.4186021247795,31.2206203217731,732.136745980707,42.4924243981699,199.592152914713,20.2875446250109,9.4124939247696,433.244100134723,14.493639399639,29.9907423307552,369031.371509307,33.0670478838968,31.5247796993135,7.70841574693665,2,20928.7848648649,0.950464934387764,8.21728339271748,3.10403649952203,0.140215381941427,69.6807856087599,12.5951542539324,1025.10358911967,41.7726740245068,15.9717634817722,0.113367514288694,378.0953155992
"Fort Carson","CO","West",38.479794579,-104.842503729,36646,0.0511681538559208,0.257080864049361,0.445926255688258,0.484838743480743,0.0940805873659663,0.836872408071494,0.101822992922914,0.000910361704665129,0.009110858282011,0.0170451801838285,0.0342381988350878,0.600711366701962,0.0173906640013226,0.0404468657750243,0.121779551286085,0.493206451180309,0.0544901905680418,0.013763019744652,0.0154047902154672,0.00800972381808273,0.0435668141162816,0.0510914120720041,0.225412211113821,0.203981912887694,0.216363872555154,0.0517579995589393,0.0315585145626578,3.63402026894785,14.5053838916715,23.4148023054328,7.44876099204033,17.2891700025019,86.7590037610004,17.7818904466111,42.4597818864227,443.848166217256,28.9296655586601,306.123981948718,17.1395516544816,8.83006158794112,408.904294718567,16.4065529139245,24.4841262891613,1371624.2786035,35.6696862924972,25.9846285176846,18.5694289351273,2,18515.0405292395,2.70448090697653,44.2071125103087,4.91673106681863,0.145133456573912,69.0090588774915,21.9326717260167,1315.68619751851,36.3791744271166,17.6341379066707,0.133375772614183,432.689043518982
"Fort De Russy","HI","West",21.2809400228638,-157.834318092606,13813,0.0409202669476642,0.170647465168013,0.34890528041213,0.232416933715635,0.128049441613358,0.460833167231413,0.0787987509135606,0.110690319580094,0.220849113015746,0.0559431267025447,0.0728855225566408,0.410366162107475,0.014475271411339,0.0598466866415036,0.147243083388459,0.496656119660578,0.0257083273407162,0.000611246943765281,0.394793614267223,0.0292319861930102,0.0154969078095786,0.117143678987487,0.0618797641305911,0.142425550280535,0.114550394156683,0.0306626716992879,0.0135024709132651,2.9203392921,11.177348228,22.2,8.1,20.2,96.875495039,18.885339666,26.394052045,553.9,23.497911647,228.18745,9.5,6.3481637386,239.37491994,27.336041788,44.3,384373.36,41,20,67.78,2,18399,8,213,5.9,0.81,47,36,1932,46,16.14,0.174598,382.9087
"Fort Detrick","MD","South",39.4388176520131,-77.4278504469405,35762,0.0703627401251225,0.202698405215423,0.288503456097834,0.445538563267336,0.0803712112509113,0.736963923256921,0.121181457146931,0.0321619568312884,0.0386556970734422,0.011965480380809,0.0590714853106082,0.498002953625177,0.0201843161353823,0.0581543715634916,0.127471947961765,0.473296555391211,0.153234848636826,0.00352700324829903,0.0496594763447564,0.000738025813308208,0.0209127129220187,0.0358723856260733,0.109445331454779,0.201487551488854,0.114528418412976,0.0405981976350375,0.0059994894625376,3.3977409644,13.313043368,28.4,9.3,20.7,93.810227735,18.509908403,22.222222222,234.3,13.320449997,185.79028,7.4,10.476027425,254.3412589,14.221865689,47.6,422686.82,30,19,14.39,2,21331,1,4,5,0.21,63,37,1841,26,15.79,0.130658,454.379
"Fort Detrick Forest Glen Annex","MD","South",39.0064042390644,-77.0547695119034,19105,0.0383159170074209,0.0943889141299409,0.16295623201575,0.443682104059463,0.0938688783028891,0.465512415530409,0.076732376344516,0.347754808269023,0.040745331680595,0.0158742852573074,0.0533807829181495,0.417402814145541,0.0255517509279774,0.0414640462693868,0.0906108825137398,0.46932959933181,0.285208932124696,0.00417618591397057,0.0703073181516692,0.000638710786842558,0.0612671039378977,0.040754661360454,0.135234726214165,0.0972412741960067,0.0576879028827591,0.0452335050211493,0.0053520559376169,2.8266839327,7.1692712231,20.6,9.5,16.3,99.82660631,14.793834062,25.980392157,292.6,13.320544106,279.82599,9,8.9701533291,177.24196139,17.31474587,53.4,315462.96,37,16,34.19,2,16993,10,44,8.6,1.16,49,55,2267,34,15.45,0.142804,413.5899
"Fort Drum","NY","Northeast",44.1244003250001,-75.5922269879999,28165,0.0766084257375313,0.320033252141357,0.423740262152088,0.592553798621547,0.140062248825508,0.730901282412721,0.11907889501635,0.000706138563219456,0.0800076855983041,0.0222987194581539,0.0470072789512518,0.541838808479493,0.0240276468924072,0.0387993366938624,0.0752749847766539,0.569446986538216,0.079011045854967,0.00606335645247456,0.0131676946309982,0.00489439431975111,0.0257824661099943,0.0484407400289641,0.101833481651225,0.257132064475801,0.167587727532789,0.0536510990329787,0.243978000050255,3.83676396328795,18.7729628359143,31.1528119886904,7.69284526018169,30.4444592013473,62.2644291068232,22.6006037857435,38.9317552019929,436.139332927138,36.0384920913519,182.943313908168,22.0199334570175,11.8209089467653,151.538588926993,14.8802175950346,20.6482197013781,812661.58882605,33.4429284389098,29.7427620814535,6.49045587419816,2,20535.1407740072,1,13.2572379185465,3.82861895927323,0.0425723791854646,58.0851914479945,7.07154739818308,1076.69850278289,40.1004990723689,14.0962861895927,0.138568347303708,430.228474372737
"Fort George G Meade","MD","South",39.1057192648323,-76.7437197754472,45033,0.0700866655676288,0.201348006015709,0.309247019509401,0.532317602776777,0.0450677753897923,0.803118788900297,0.0760813082939317,0.0535986389026143,0.0241718804738446,0.00970212567717732,0.033327257752135,0.501026516952604,0.0257937279360555,0.0319652605460174,0.110362530053536,0.512439879958624,0.319288584696109,0.00309861430572963,0.0726748839317444,0.000428734797872626,0.0224506668042364,0.0460976992728908,0.0862669615100404,0.104035181766505,0.17893796280897,0.0400347678206358,0.0602430521962711,3.3859341564,12.663954157,29.1,8.9,20.9,93.4387415,20.148349612,36.057692308,312.6,17.980941615,153.77956,9.3,8.2772800184,459.77839402,14.545996128,44.7,265526.61,42,21,21.12,2,18924,3,17,7.2,0.77,61,60,1975,26,14.82,0.13927,437.4763
"Fort Gordon","GA","South",33.366681154112,-82.2113962712209,97548,0.121105173706924,0.299288188811379,0.361692857875138,0.460431181212832,0.174297395586606,0.832777015732942,0.0990473533927974,0.0126254636573661,0.026045046490447,0.0099694172716947,0.0195357034547523,0.434525223389603,0.0261372557559072,0.0607334606723132,0.123631468049151,0.486306723169554,0.459831471424722,0.00424900171481998,0.0160023054078825,0.0025845260822331,0.0161429268046102,0.0312998902518147,0.0640171872784812,0.381110686533165,0.182133787852069,0.057902000816316,0.0557518144442472,3.77330738568174,19.0791388596112,32.9940121669034,6.40998172956748,25.1641620948757,73.917827083031,15.5469608461708,24.4186244683239,564.243887185099,36.3111334193338,172.705438031401,28.6200191739154,9.42855652184392,295.503447218821,16.8079138000608,27.9707033112649,221652.705904939,35.816131185721,31.8178151775093,8.99677102731028,2,20416.3505463562,0.546268364545322,4.56272430218492,2.33570238268525,0.266953028926512,68.5318653408891,28.0579283136491,1105.32537180832,36.3802257703447,16.329999498065,0.131616084149396,343.450226606819
"Fort Greely","AK","West",63.9709665072986,-145.718810693958,2880,0.0749536178107607,0.321335807050093,0.394063079777365,0.494117647058824,0.0910623946037099,0.486695278969957,0.170815450643777,0,0.169957081545064,0.00257510729613734,0.169957081545064,0.570341207349081,0.0036745406824147,0.0551181102362205,0.113385826771654,0.575424575424575,0.015984015984016,0.0177822177822178,0.00979020979020979,0.00659340659340659,0.0161838161838162,0.0335664335664336,0.0651348651348651,0.317110266159696,0.215320244608948,0.0356955380577428,0.0425196850393701,3.2191309075,18.69028212,32.6,6.1,20.1,33.247972685,20.952267977,27.272727273,230.8,39.597315436,116.34671,16.9,11.697616611,NA,28.770301624,10.1,15851253.18,29,24,0.06,2,20629,10,155,9.9,0,80,0,1186,30,15.1,0.11543,461.6114
"Fort Hamilton","NY","Northeast",40.6086355608825,-74.029489793719,56389,0.122357940039177,0.20654410758479,0.214693913420871,0.450505266491451,0.121445741690837,0.281307054953462,0.0721534218824515,0.518278161468943,0.0823636021256084,0.0132977492816315,0.0326000102879034,0.516731266065873,0.0167066732871279,0.0683685634834709,0.0708558456364255,0.477980531196532,0.0166253128640972,0.00231722134539407,0.205709075783884,2.58264110498347e-05,0.0552382343085655,0.0193452919900105,0.142067029916376,0.24909140482812,0.0389364171058677,0.0524551491955927,0.00177235016374334,3.8980065348,14.615999022,22.6,7.4,27,100,19.369214503,12.396694215,699.2,21.934544475,187.89343,28.4,4.8089777699,620.90533418,35.043279985,57.1,44680.02,35,10,47.46,1,3050,60,1300,9.8,20.85,5,338,1590,71,14.17,0.134979,326.6086
"Fort Hood","TX","South",31.2181992490961,-97.7649401274849,152476,0.074542179029571,0.262101474978544,0.452118444030015,0.559263285930376,0.123114693353221,0.784969884975807,0.127457887054621,0.00304612887222629,0.0349544819482276,0.0195195132112713,0.030052103937847,0.545116676872148,0.0250551802967152,0.0378529820270343,0.112558234049154,0.503648218981376,0.224634815970724,0.00960501282839168,0.029921098781498,0.010429185122504,0.0484785911036387,0.0575441297467702,0.217789748627963,0.261425521974986,0.283940611291902,0.0587246680479585,0.143663114678916,3.63410971169593,16.9985171167606,29.6785871113885,5.8242825777223,26.0650109779719,79.147938159841,19.7741161292596,29.3720920603842,1032.60256732866,46.4745693955315,168.611774175011,19.5242825777223,7.8639658056732,348.063150881882,13.9006410081734,22.2814568004993,672797.090250069,32.6214128886115,28.3785871113885,12.5297296907519,2,20288.04520239,1.81070644430575,43.7533126620898,5.39426062177841,0.135391837759748,66.5678806670827,15.9177708873633,1066.14515042184,44.6214128886115,14.9304580910015,0.0988657991317083,370.349027591634
"Fort Huachuca","AZ","West",31.5676015148981,-110.328948173719,63523,0.146988008479631,0.240342206397873,0.40679557455297,0.399838808619926,0.133512752203766,0.785322553477861,0.102227306178295,0.00777566305365625,0.0323004463890929,0.0226255498045323,0.0497484810965623,0.492382933676013,0.0163199885537347,0.06071358680329,0.13707470931862,0.561008045848835,0.0496103295119603,0.0226543528157551,0.016972888627147,0.00244622282114116,0.0531647958354252,0.0511289983375234,0.310866770703685,0.251952084840166,0.216798477828993,0.0354278767338731,0.0549799065617722,3.97664513842107,15.3070209663564,31.1023997966959,7.22527997628119,24.2764798746292,71.6163675951596,15.8076138690117,29.1124686658195,338.929921700977,36.0418982314647,82.3840210858478,24.4203203964429,4.96629447110388,270.34023887867,16.6018303124796,44.4377589191,3561815.24845252,31.748800101652,30.249600033884,10.9667038556541,2,20620.2207177635,0.499200067768025,5.99040081321631,2.34912007454483,0.0325119989834796,71.0047995933919,7.50239979669592,1060.78079739093,28.9984001355361,NA,0.172646863449354,452.198304025074
"Fort Jackson","SC","South",34.0400486934925,-80.8265918650225,107227,0.068890000932744,0.21564716887842,0.354535020529258,0.419455925681338,0.0968939700801561,0.795938656166192,0.0733330151883942,0.00549660813548896,0.0805477029810409,0.0142881591703561,0.0303958583585282,0.455332128358638,0.0324120501680841,0.0553496893123753,0.107870831992194,0.492997336989135,0.427581488020055,0.00126806436525383,0.0294714440505962,0.00168279871897213,0.0187546493680794,0.0321688951271646,0.065393053405806,0.246743340932774,0.155288266119364,0.0531104634099901,0.0734215559403187,4.40043647684819,15.0003913493643,32.2906356853031,6.73616834664507,22.3391319544702,60.363075598388,18.5683020050956,46.6907459239288,755.442709516066,23.2240450477487,268.188988376909,21.9319158266775,12.4298773912613,783.939696422926,17.3706653977298,30.8876282236372,481910.547814776,34.1829899201296,27.6808417332254,11.1812117554345,2,19306.139060095,0.863831653354927,13.9574748003239,5.16894344808422,0.265957913338732,65.5446733865803,26.8681280271633,1141.70661997608,38.2766330670985,14.9557001309102,0.121413584274273,331.409102979022
"Fort Knox","KY","South",37.9067477975728,-85.8830605920726,74741,0.0875153858726754,0.338779190182032,0.354751299262868,0.455005980030404,0.120306156280042,0.829788537752689,0.106631524917337,0.00434740000531424,0.0212169682641164,0.00999153134393193,0.0280240377166111,0.545013962328432,0.0230976699605057,0.0534529129785303,0.133421397449315,0.49863463122814,0.0876078044618897,0.00334458286264473,0.0198377993653902,0.00317107805165104,0.00791746323813619,0.039500794582722,0.0516372703600694,0.27191269529641,0.189887879082813,0.0516310900818617,0.0517875620186889,4.19398680979,20.679391427996,35.2913815167195,7.57342637888457,28.236350679866,69.6336104218938,15.8158340366472,22.8272267158786,363.962995347722,34.1760989914292,203.278517354793,17.7483622870203,8.54739384339742,109.108660221427,12.4034790287537,37.3038369520092,301711.706923291,30.9023021712055,30.96908182787,5.73433047006407,2,21215.3946175674,0.0858595585686222,4.15597327615355,4.32720833386832,0.103373735817401,70.3686384277271,11.826812868876,1054.79866380768,29.0366575504282,17.1307567761899,0.135696765746911,438.84836526328
"Fort Leavenworth","MO","Midwest",39.3639371315934,-94.9183780426125,23591,0.0728001334310169,0.268446204327186,0.334333990491145,0.509694109479191,0.11860501441159,0.801263978324131,0.116741481344236,0.00265845977964616,0.0325506758381731,0.0188059034472632,0.0279795012665499,0.520932402418471,0.0234462436988298,0.0493142742953255,0.140804623134249,0.529504999166419,0.118014199649107,0.00466086707199985,0.019148410731721,0.002178154326798,0.0164807333533013,0.0450481911004111,0.0748822848138327,0.242030817916749,0.237321291397909,0.0355581866620223,0.0521654623499109,3.47210472251762,17.3917520977301,34.5823250068465,7.68093123801866,23.5688313201764,85.1966570018065,18.259466119409,38.6759813346306,308.230693796214,22.0794023377365,140.078249508102,8.87627504792537,8.77129764942643,281.703949832336,12.6080050403548,33.2837187756743,281366.712049691,35.0883749657676,26.4558125171162,9.45214431800304,2,20538.3706422874,0.544187482883796,14.7069997261407,4.50139376882782,0.11720937414419,70.1906876198134,15.4558125171162,1393.07474609751,34.5441874828838,14.7719068761981,0.131905413999452,443.361484515298
"Fort Lee","VA","South",37.2463507681734,-77.3344596862655,43078,0.150256500205402,0.369057423820646,0.316989676042375,0.451604083341919,0.169235484392099,0.829317660226667,0.0898170886338111,0.0139532946410945,0.0176781880480319,0.0244847121062199,0.0247490563441754,0.392031169186461,0.0348354975596765,0.0719904007523603,0.122415797459223,0.501443375881358,0.463677967945898,0.00396497525896676,0.0137743188921042,0.000863802173340745,0.0258926483711495,0.0298310526069118,0.0652280987652881,0.378667668283463,0.15286701264284,0.0683565141567069,0.0304555244966438,3.42868989003741,13.3459764158485,28.4681187013754,8.31819584413879,22.0578931818928,76.0736234783634,17.1705198633086,38.2159938011717,438.132724945015,15.2825326108009,131.044304591472,9.53518694810098,8.80732069595235,125.388591561083,12.8721095252248,37.0739881167318,260604.573466829,37.6932344155205,25.204510389653,9.90207891540557,2,20860.2175097659,0,0,6.51594064931228,0.393188129862456,79.6932344155205,51.9323441552047,1505.67685388832,24.5112759741326,15.8629626103798,0.121475940780619,412.663159314578
"Fort Leonard Wood","MO","Midwest",37.7057852059226,-92.1572878631443,30620,0.0724378841037283,0.284743975557981,0.374446922308842,0.59872491008655,0.0974408349066654,0.59394159162113,0.0907798989993469,0.00217293579422259,0.00771294232564635,0.0127439484202527,0.292648682839402,0.450311180305744,0.0136719162832262,0.0337967670117461,0.0956372291041734,0.579320236526194,0.125041742097287,0.010843922015915,0.0272909392855392,0.00824133346059325,0.0334395326079839,0.0530077345841719,0.103954717933406,0.189877887603387,0.282452575457068,0.0466515684252421,0.348105260659192,4.34838591997003,22.1551228627454,30.769139349706,6.96416602000797,28.507820026146,67.3241588050364,19.1555524605744,30.2328036119178,425.016714554365,34.1367742712348,194.939461528282,20.8881392308607,13.0565492533723,323.461842932169,14.6364133408194,23.2968079528533,409026.834362325,32,33.8152233943639,3.4115994491167,2,20617.747670281,0.751725005767496,12.564375747153,3.19967841837769,0.0356177513055515,65.5719399061821,14.0634354704529,890.472536230364,40.4891046748181,13.9692451220962,0.141665344330027,422.084864855323
"Fort Lesley J McNair","DC","South",38.8669738292788,-77.0166739701276,5211,0.0664187716373894,0.0865495576355943,0.154891652775997,0.240590757503573,0.13544201135442,0.283142617917946,0.0274909293887804,0.441808540329333,0.120011163829193,0.0626569913480324,0.064889757186715,0.276216968011127,0.0101993509503941,0.0360686138154845,0.0982846546128883,0.446720960137162,0.467809687098157,0.00437205315045006,0.0434633519074153,0.00197171024432062,0.00745820831547364,0.0304329189884269,0.0560651521645949,0.502123142250531,0.0687616677037959,0.0530366249420491,0.00658321743161799,3.5424234802,16.686006181,22.8,8.4,17.4,99.960280727,28.004741946,25,1198.4,34.060003702,436.30812,27.6,27.490672807,1263.3762802,21.561991661,45.8,39132.81,29,10,60.2,1,10239,30,22,9.8,6.99,12,237,1982,59,12.27,0.135549,306.7233
"Fort Lewis","OR","West",47.079680565206,-122.576554657571,141568,0.0987300263855507,0.270341948969337,0.426077603129427,0.501162437509385,0.128771421684527,0.800850561871244,0.0949257713149964,0.0205163376566655,0.0233262673235,0.0174698918115429,0.0429111700220516,0.546205778934251,0.0185995510520063,0.0446681237859625,0.122931731362849,0.501853330703843,0.0651585542485549,0.0143422427384056,0.0470283838874636,0.0172558311950238,0.0565422920595107,0.063289269343797,0.168378258506823,0.311289809756074,0.19750025752439,0.059795894719927,0.0682447649172788,3.88170422348078,14.5284172680695,30.2356015588733,7.53389616231936,19.0897167323642,84.1372045539418,18.482037451684,32.1941063215963,492.908429353782,24.8281448532587,324.546566070936,15.1940964772207,8.28438945129715,359.193599161262,18.0757330499831,37.3023866458859,975855.222635065,32.9200981713708,24.0504871080284,15.7598587011835,2,19411.4526706792,2.52076849327524,28.7331187197203,4.31288192156819,0.232350984186337,65.086994287428,21.7617525679455,1509.02987494875,37.8143493873462,19.0714311659804,0.137581804408619,434.395484128191
"Fort Monroe","VA","South",37.0044916476714,-76.308267866269,4606,0.0680354271472056,0.220852131386593,0.352530213463046,0.387090790571919,0.0648336589457107,0.85965609539712,0.0720224363531345,0.0124390128667496,0.0130061067020332,0.0154315425146427,0.0274448061663206,0.464170567195951,0.037841099132092,0.0673713439368846,0.132940340277336,0.461780541159271,0.22132236992308,0,0.00598073134236982,0,0.0065264213764349,0.034002920645929,0.0271184480525813,0.1557202056119,0.168401670908665,0.046737909272866,0.0134215800824068,3.6507756203,17.262901569,37.3,6.5,23.7,86.580663,17.676054952,29.545454545,890.6,26.561893095,231.88834,23.5,9.9667287144,241.83120911,23.605313093,25.8,32941.32,33,23,21.42,2,18295,3,47,6.1,1.61,66,168,1302,42,14.09,0.143021,315.6476
"Fort Myer","VA","South",38.8807643932622,-77.0808134502805,34067,0.108292825501834,0.120766614050918,0.171414826115353,0.431678169381011,0.122879417939724,0.564922846100667,0.069700433625635,0.247005815914546,0.0405395279642303,0.0287133899732115,0.0491179864217095,0.402259221057772,0.0234427258838927,0.0307870316980686,0.0837095270260652,0.518196988886821,0.148208118740648,0.00459962525793839,0.118394682225812,0.00160248795624953,0.105694399919841,0.0268789720062926,0.25334859595889,0.211254737954002,0.0680737830466349,0.0370326357524098,0.0291452670926385,3.1330682649,12.338541629,18.3,9.3,15.3,99.989404076,26.10609086,20,355.2,12.682637395,139.96957,8.4,13.571067009,146.47378476,15.156079572,44.1,16634.73,37,12,69.73,1,11415,25,31,9.8,5.92,28,228,2297,56,14.1,0.104647,402.7902
"Fort Polk","LA","South",31.0580252964303,-93.1999463588373,39748,0.114380171007409,0.362074616756911,0.325154619789441,0.485919160973555,0.148289983505262,0.827657602174412,0.0918448532600718,0.00216003592281435,0.0254418987261108,0.0290431707952594,0.0238524391213313,0.555173380242618,0.0300297796450044,0.0547679742963643,0.109107735063652,0.51651285806049,0.142127407419954,0.0116701649299442,0.0124602844944478,0.00269269606797595,0.00932420372680112,0.0389759559665304,0.071279160037182,0.247757132132992,0.20947123400811,0.0371842566872162,0.110675607469395,4.25714169184455,20.5981145955888,34.8035226682915,6.36950298364556,30.1391133205025,62.8790018669886,17.7057028912846,30.1272060514742,644.982109087627,48.9183729327279,269.666308181121,26.630230728809,12.5912598088765,547.8430880566,14.0205700215397,27.1958145142831,775223.189880138,33.0556431360033,35.8339377996138,4.00288109584095,2,20782.9544506449,0.573730379024536,10.1789671524964,2.0480884358347,0.0370507848390185,63.0598760118766,6.96243282364737,889.657975247509,35.5501158963348,13.4676479929326,0.153445366380714,385.051543045092
"Fort Riley","KS","Midwest",39.1866483249603,-96.8207863216314,37243,0.0462597345363528,0.24388489571478,0.423723856170609,0.562326646262529,0.0951144435835681,0.747916460078157,0.113019390023437,0.00311900135740872,0.0297942819153828,0.0191015859024747,0.0870492807231398,0.60427133310188,0.0148620332100176,0.0355631008507713,0.0930508103676282,0.536514296368201,0.119431004608486,0.00579989088484763,0.0305302267930068,0.0056329180009676,0.010968125307215,0.0577078910338166,0.116118482311222,0.161506119966161,0.208281607773717,0.0374222586987282,0.226693660424463,3.24674740191271,16.2684200583944,29.0006383009174,6.2983233867159,22.3966804058792,80.6099346940172,20.5395423451018,25.4063691379165,552.4100732758,30.8366895049744,183.780348515593,13.8892118557955,13.0449029273196,276.827198840655,18.6972376853777,14.409555908577,374902.75410874,34.7299028236944,29.6496357677501,14.1976130980493,2,19945.6161679046,0.463154580453108,8.01574284773804,3.70824066520688,0.0527404004407997,54.0714653728908,10.1354314255864,1072.61594607359,51.057389835845,13.5670268200879,0.112823051593606,384.3100016852
"Fort Rucker","AL","South",31.4041575868033,-85.7474771105802,43331,0.113309662188465,0.285267259901516,0.372584518992786,0.427433304241645,0.155874920007328,0.858311128823488,0.0843987236594823,0.00104807614159388,0.0127257778502872,0.0164276254900262,0.0270886680351225,0.509850350646881,0.0248397380210342,0.0725132812924395,0.134163520035044,0.499302946684434,0.188534559683042,0.00544412119087896,0.0126618823354854,0.000113047523962722,0.0115162615397793,0.0302891048974265,0.0731964652856315,0.306096269756414,0.214788152224201,0.0492115962609554,0.0651322075432569,4.5246419219458,18.4046265511847,35.3383801488834,7.10404168734491,29.3050521091811,52.3876655799245,14.967192912426,36.1272160921173,519.172559801489,33.5296931624631,66.8189713999007,25.4575622828784,13.8787718021891,341.66817988468,13.8155120460056,24.586864516129,397224.070268586,31.0202084367246,32,2.90939692307692,2,21299.0817866005,0.494947890818859,8.97979156327543,2.09494789081886,0.0449494789081886,69.0303126550868,9.47473945409429,974.596466501241,34.9696873449132,18.4867698263027,0.162572656258065,399.211913463027
"Fort Shafter","HI","West",21.3443455626976,-157.884033407616,56547,0.166547373936205,0.289287832902129,0.295536704012101,0.359960520057457,0.12492631434485,0.498741149412124,0.150635322352069,0.191912193405076,0.0694854697977663,0.0685139430504989,0.0207119219824668,0.452411635317279,0.013397144997584,0.0789682222559095,0.0816001471953533,0.503015869232825,0.013011220017595,0.00102354149247051,0.618560211725731,0.11568902235668,0.00441372762337168,0.164481253854155,0.0685954655739628,0.344448547502182,0.0794368759588656,0.029876777995662,0.0144883093950752,2.9203392921,11.177348228,22.2,8.1,20.2,96.875495039,18.885339666,26.394052045,553.9,23.497911647,228.18745,9.5,6.3481637386,239.37491994,27.336041788,44.3,384373.36,41,20,67.78,2,18399,8,213,5.9,0.81,47,36,1932,46,16.14,0.174598,382.9087
